1095 24
0.0080917 0.0027000 0.0002136 
0.0084250 0.0005000 0.0002355 
0.0000000 0.0008500 0.0003705 
0.0000083 0.0009500 0.0003545 
0.0000750 0.0013000 0.0003022 
0.0016167 0.0007500 0.0002675 
0.0012833 0.0009500 0.0002532 
0.0072250 0.0008500 0.0002887 
0.0002667 0.0014000 0.0004237 
0.0004250 0.0016000 0.0004676 
0.0008167 0.0011000 0.0004178 
0.0016250 0.0006500 0.0003621 
0.0025000 0.0008500 0.0003199 
0.0000083 0.0012500 0.0003047 
0.0003917 0.0010500 0.0002912 
0.0000000 0.0034500 0.0002810 
0.0002083 0.0030500 0.0002575 
0.0001000 0.0045500 0.0002329 
0.0000667 0.0032500 0.0002380 
0.0006583 0.0025500 0.0002558 
0.0000000 0.0021000 0.0002355 
0.0006583 0.0027500 0.0002220 
0.0023333 0.0016000 0.0002262 
0.0047417 0.0012000 0.0002194 
0.0068417 0.0006500 0.0002296 
0.0004333 0.0012000 0.0002701 
0.0000000 0.0032000 0.0003367 
0.0000000 0.0047000 0.0003435 
0.0005000 0.0045000 0.0006406 
0.0011250 0.0033000 0.0006288 
0.0003250 0.0026500 0.0003334 
0.0000000 0.0044500 0.0003343 
0.0000000 0.0040500 0.0002928 
0.0000000 0.0063000 0.0002793 
0.0001583 0.0051000 0.0001967 
0.0000000 0.0045500 0.0001789 
0.0000000 0.0047500 0.0001730 
0.0000000 0.0055000 0.0001654 
0.0000000 0.0051500 0.0001477 
0.0000000 0.0048500 0.0001376 
0.0000000 0.0076500 0.0001308 
0.0000000 0.0062500 0.0001199 
0.0000000 0.0055000 0.0000920 
0.0000000 0.0066000 0.0000912 
0.0303333 0.0070500 0.0000920 
0.0024333 0.0040500 0.0003039 
0.0003333 0.0038000 0.0004398 
0.0025500 0.0012000 0.0002937 
0.0012500 0.0017500 0.0002481 
0.0006250 0.0026500 0.0002102 
0.0000000 0.0059500 0.0001738 
0.0000000 0.0054500 0.0001384 
0.0000000 0.0032500 0.0001098 
0.0000000 0.0030000 0.0000929 
0.0004333 0.0055000 0.0000676 
0.0000750 0.0035000 0.0000527 
0.0000250 0.0037000 0.0000495 
0.0002167 0.0056000 0.0000444 
0.0000000 0.0045000 0.0000363 
0.0002583 0.0031500 0.0000305 
0.0000417 0.0049000 0.0000277 
0.0001417 0.0044500 0.0000265 
0.0012917 0.0054000 0.0000238 
0.0364583 0.0006000 0.0000272 
0.0002917 0.0024000 0.0001233 
0.0000000 0.0055500 0.0002245 
0.0000000 0.0054500 0.0002042 
0.0002667 0.0057500 0.0000971 
0.0017333 0.0044000 0.0000499 
0.0053333 0.0019000 0.0000369 
0.0000250 0.0047500 0.0000558 
0.0000000 0.0049500 0.0000386 
0.0005000 0.0037500 0.0000330 
0.0021000 0.0023500 0.0000290 
0.0028917 0.0029000 0.0000313 
0.0000000 0.0039000 0.0000439 
0.0040417 0.0052500 0.0000474 
0.0000000 0.0072000 0.0000433 
0.0000000 0.0066000 0.0000449 
0.0000000 0.0065500 0.0000319 
0.0000000 0.0070500 0.0000258 
0.0000000 0.0062000 0.0000238 
0.0003917 0.0075000 0.0000230 
0.0000000 0.0087500 0.0000218 
0.0006333 0.0070000 0.0000212 
0.0015750 0.0070500 0.0000202 
0.0129500 0.0037500 0.0000196 
0.0189500 0.0025000 0.0000221 
0.0159833 0.0013000 0.0001984 
0.0148167 0.0009000 0.0007622 
0.0043333 0.0015500 0.0008947 
0.0000083 0.0030500 0.0008947 
0.0008667 0.0048500 0.0004702 
0.0001083 0.0059500 0.0002895 
0.0052000 0.0055000 0.0001941 
0.0082750 0.0030000 0.0003427 
0.0000083 0.0047000 0.0003705 
0.0015917 0.0054000 0.0004017 
0.0482833 0.0007500 0.0003748 
0.0527417 0.0003000 0.0056212 
0.0228250 0.0003500 0.0124073 
0.0038333 0.0003000 0.0113945 
0.0001500 0.0023500 0.0076976 
0.0018000 0.0048000 0.0025827 
0.0000000 0.0064500 0.0013252 
0.0154000 0.0014000 0.0010635 
0.0055167 0.0012000 0.0015108 
0.0024333 0.0013000 0.0019919 
0.0485417 0.0004500 0.0028782 
0.1173417 0.0003000 0.0258275 
0.0141000 0.0015000 0.0412733 
0.0000000 0.0042000 0.0135889 
0.0000000 0.0040500 0.0051739 
0.0036250 0.0036500 0.0027853 
0.0047750 0.0033000 0.0021944 
0.0090083 0.0038000 0.0024309 
0.0030750 0.0039500 0.0021944 
0.0000000 0.0060000 0.0016880 
0.0000000 0.0061500 0.0013589 
0.0002167 0.0072000 0.0009453 
0.0115500 0.0059500 0.0007605 
0.0025917 0.0028500 0.0010297 
0.0011167 0.0050500 0.0013336 
0.0000000 0.0058500 0.0008356 
0.0015167 0.0050500 0.0006643 
0.0025833 0.0057500 0.0005436 
0.0077500 0.0046500 0.0005520 
0.0008417 0.0063000 0.0005909 
0.0011000 0.0049000 0.0005605 
0.0081000 0.0063000 0.0004972 
0.0008500 0.0051000 0.0005039 
0.0033167 0.0065000 0.0005638 
0.0019250 0.0060000 0.0005317 
0.0075417 0.0072000 0.0006170 
0.0000583 0.0061000 0.0005773 
0.0187333 0.0055000 0.0003664 
0.0480417 0.0019500 0.0031398 
0.0000000 0.0046000 0.0071996 
0.0007083 0.0030000 0.0031145 
0.0005500 0.0017000 0.0020172 
0.0022917 0.0021000 0.0008863 
0.0354583 0.0008500 0.0073853 
0.0898167 0.0003500 0.0130825 
0.0575500 0.0003000 0.0346054 
0.0786583 0.0010000 0.0368843 
0.0446417 0.0006500 0.0415265 
0.0351917 0.0009000 0.0485320 
0.0140250 0.0011000 0.0346054 
0.0688000 0.0006500 0.0299633 
0.0170417 0.0011000 0.0475191 
0.0664083 0.0009500 0.0213541 
0.0010417 0.0010500 0.0325797 
0.0000333 0.0017000 0.0114788 
0.0000000 0.0042000 0.0053427 
0.0008000 0.0017500 0.0043130 
0.0079583 0.0017000 0.0030554 
0.0059750 0.0014500 0.0045662 
0.0059250 0.0005500 0.0028360 
0.0458083 0.0002500 0.0039163 
0.0574167 0.0005000 0.0188220 
0.0197250 0.0005000 0.0335926 
0.0112833 0.0005500 0.0193284 
0.0120417 0.0006000 0.0108881 
0.0167000 0.0006000 0.0078663 
0.0405417 0.0004500 0.0113100 
0.0252917 0.0004000 0.0256586 
0.0105000 0.0011500 0.0216073 
0.0135000 0.0011500 0.0112256 
0.0049250 0.0018500 0.0086935 
0.0094833 0.0007000 0.0070055 
0.0141083 0.0007500 0.0059167 
0.0010417 0.0010000 0.0074528 
0.0000000 0.0012500 0.0074528 
0.0000000 0.0024500 0.0051233 
0.0000000 0.0029500 0.0048954 
0.0000000 0.0037000 0.0039586 
0.0000000 0.0033500 0.0024814 
0.0000000 0.0035500 0.0022789 
0.0000500 0.0025500 0.0021017 
0.0017500 0.0014000 0.0019834 
0.0029833 0.0010000 0.0028275 
0.0000000 0.0028500 0.0023549 
0.0000000 0.0039500 0.0019076 
0.0000000 0.0035000 0.0017134 
0.0004500 0.0024000 0.0014686 
0.0140333 0.0018500 0.0016375 
0.0115250 0.0015500 0.0018062 
0.0095167 0.0011000 0.0036040 
0.0120167 0.0009500 0.0043383 
0.0006500 0.0017500 0.0043383 
0.0019333 0.0015000 0.0037728 
0.0028750 0.0007000 0.0023127 
0.0020833 0.0010000 0.0021523 
0.0053667 0.0012500 0.0019666 
0.0000417 0.0007000 0.0020003 
0.0007833 0.0021000 0.0019834 
0.0000000 0.0017000 0.0022451 
0.0000000 0.0022000 0.0030469 
0.0001500 0.0020000 0.0015193 
0.0000000 0.0024500 0.0014433 
0.0000000 0.0021500 0.0012745 
0.0019583 0.0006000 0.0010297 
0.0005000 0.0002500 0.0009959 
0.0001833 0.0004500 0.0010635 
0.0000167 0.0009500 0.0010804 
0.0001250 0.0013500 0.0010213 
0.0012833 0.0011000 0.0008441 
0.0026417 0.0004000 0.0007225 
0.0007750 0.0001000 0.0007275 
0.0001417 0.0025000 0.0007605 
0.0000000 0.0017000 0.0007588 
0.0000000 0.0050000 0.0007309 
0.0000000 0.0039000 0.0006955 
0.0000000 0.0038000 0.0006314 
0.0001750 0.0021000 0.0006372 
0.0002167 0.0015500 0.0006423 
0.0000000 0.0020000 0.0006280 
0.0000083 0.0018500 0.0007630 
0.0000833 0.0010000 0.0011647 
0.0039500 0.0005000 0.0010719 
0.0004250 0.0018000 0.0006263 
0.0000000 0.0015000 0.0006162 
0.0000000 0.0012500 0.0005909 
0.0075167 0.0006500 0.0005909 
0.0079417 0.0007500 0.0006119 
0.0004167 0.0010500 0.0007090 
0.0008250 0.0008000 0.0009031 
0.0000000 0.0013000 0.0013420 
0.0000000 0.0028500 0.0010551 
0.0000000 0.0008750 0.0005858 
0.0000000 0.0006250 0.0005419 
0.0000000 0.0009500 0.0005368 
0.0000000 0.0005500 0.0005241 
0.0000000 0.0005000 0.0005233 
0.0000000 0.0016000 0.0005047 
0.0000000 0.0018000 0.0004921 
0.0000000 0.0011000 0.0004820 
0.0000000 0.0009500 0.0004668 
0.0000000 0.0006000 0.0004651 
0.0000000 0.0011500 0.0004651 
0.0007167 0.0010500 0.0004279 
0.0011000 0.0006500 0.0004406 
0.0001167 0.0005500 0.0004634 
0.0011917 0.0007500 0.0004651 
0.0009750 0.0006000 0.0004719 
0.0000000 0.0006750 0.0004668 
0.0006000 0.0007250 0.0004651 
0.0032917 0.0002500 0.0004567 
0.0006083 0.0008000 0.0004465 
0.0000000 0.0011500 0.0004381 
0.0000000 0.0008000 0.0004220 
0.0000000 0.0006000 0.0004439 
0.0000000 0.0004500 0.0004296 
0.0000000 0.0007188 0.0004279 
0.0000000 0.0007188 0.0004195 
0.0000000 0.0007188 0.0004102 
0.0000000 0.0007188 0.0004102 
0.0000000 0.0005938 0.0016965 
0.0000000 0.0007438 0.0004456 
0.0000000 0.0007938 0.0004777 
0.0000000 0.0007438 0.0004828 
0.0059500 0.0003000 0.0004659 
0.0005750 0.0003500 0.0004389 
0.0018833 0.0001500 0.0004448 
0.0000000 0.0003750 0.0004465 
0.0023500 0.0003250 0.0004381 
0.0012083 0.0005125 0.0004169 
0.0002667 0.0005125 0.0003630 
0.0000000 0.0005125 0.0003376 
0.0000000 0.0005125 0.0003022 
0.0000000 0.0005125 0.0002760 
0.0000000 0.0005125 0.0002624 
0.0000000 0.0005125 0.0002541 
0.0000000 0.0005125 0.0002153 
0.0000000 0.0005334 0.0002338 
0.0000000 0.0005334 0.0002305 
0.0000000 0.0005334 0.0002153 
0.0004083 0.0005000 0.0002042 
0.0014167 0.0003334 0.0002076 
0.0001250 0.0004084 0.0001933 
0.0000000 0.0004084 0.0001907 
0.0000000 0.0003963 0.0001815 
0.0000000 0.0003963 0.0001798 
0.0000000 0.0003963 0.0001789 
0.0000000 0.0003963 0.0001671 
0.0000000 0.0003963 0.0001620 
0.0000000 0.0003963 0.0001646 
0.0000000 0.0003963 0.0002042 
0.0000000 0.0003963 0.0001924 
0.0000000 0.0001650 0.0001933 
0.0000000 0.0001650 0.0002245 
0.0000000 0.0004000 0.0002228 
0.0000667 0.0004750 0.0002279 
0.0000000 0.0007750 0.0002296 
0.0000000 0.0009500 0.0002481 
0.0000000 0.0012500 0.0002440 
0.0000000 0.0012500 0.0002558 
0.0000000 0.0006375 0.0002718 
0.0000000 0.0006375 0.0002718 
0.0000000 0.0006375 0.0002718 
0.0000000 0.0006375 0.0002658 
0.0000000 0.0002500 0.0002692 
0.0002750 0.0003500 0.0002558 
0.0032333 0.0003000 0.0001992 
0.0009000 0.0003000 0.0001933 
0.0000500 0.0005500 0.0001941 
0.0001500 0.0007500 0.0002059 
0.0007917 0.0005500 0.0002076 
0.0011417 0.0002000 0.0002018 
0.0005000 0.0001667 0.0001941 
0.0001333 0.0001667 0.0001933 
0.0000250 0.0001667 0.0001933 
0.0007250 0.0001500 0.0001890 
0.0005250 0.0001500 0.0001849 
0.0003417 0.0005500 0.0001772 
0.0003083 0.0002611 0.0077736 
0.0000000 0.0003111 0.0077879 
0.0011250 0.0003111 0.0001873 
0.0002000 0.0003111 0.0001882 
0.0002917 0.0003111 0.0001806 
0.0005250 0.0003111 0.0001764 
0.0011583 0.0004611 0.0001764 
0.0002833 0.0003611 0.0001688 
0.0010667 0.0002611 0.0001569 
0.0008083 0.0007500 0.0001612 
0.0009583 0.0008500 0.0001620 
0.0018583 0.0013000 0.0001620 
0.0002333 0.0007500 0.0000025 
0.0006250 0.0003000 0.0000025 
0.0001917 0.0008500 0.0000025 
0.0000000 0.0007000 0.0001646 
0.0000000 0.0013500 0.0001654 
0.0000000 0.0007000 0.0001721 
0.0010417 0.0003000 0.0001764 
0.0009417 0.0018500 0.0001806 
0.0039417 0.0004500 0.0001849 
0.0006333 0.0002500 0.0001890 
0.0001917 0.0007000 0.0002009 
0.0000000 0.0009500 0.0001984 
0.0000000 0.0022500 0.0002025 
0.0000000 0.0013500 0.0001984 
0.0000000 0.0007500 0.0001924 
0.0008583 0.0006000 0.0001781 
0.0002667 0.0007000 0.0001688 
0.0019333 0.0012000 0.0001688 
0.0095500 0.0004000 0.0001688 
0.0030250 0.0008000 0.0001832 
0.0000750 0.0019500 0.0002228 
0.0000000 0.0027500 0.0002220 
0.0000000 0.0028000 0.0002288 
0.0000000 0.0026000 0.0002971 
0.0000000 0.0015000 0.0002498 
0.0000000 0.0023000 0.0003849 
0.0000000 0.0032000 0.0004246 
0.0002417 0.0021500 0.0004051 
0.0005417 0.0017000 0.0004068 
0.0007083 0.0012000 0.0004169 
0.0017833 0.0003000 0.0004270 
0.0047667 0.0016500 0.0004229 
0.0003917 0.0027000 0.0004237 
0.0000000 0.0026500 0.0004321 
0.0010667 0.0026000 0.0004229 
0.0066333 0.0006500 0.0004304 
0.0010250 0.0014000 0.0003840 
0.0025833 0.0004500 0.0004178 
0.0014250 0.0004500 0.0004955 
0.0004667 0.0006000 0.0005740 
0.0029667 0.0002500 0.0006068 
0.0000000 0.0005500 0.0005562 
0.0000000 0.0011000 0.0004507 
0.0003083 0.0015000 0.0004431 
0.0074750 0.0004500 0.0004726 
0.0000000 0.0027500 0.0005486 
0.0000000 0.0027500 0.0006651 
0.0005917 0.0023500 0.0008863 
0.0004000 0.0011500 0.0007816 
0.0000167 0.0023000 0.0007242 
0.0021000 0.0029500 0.0005605 
0.0005083 0.0033500 0.0004516 
0.0061083 0.0009000 0.0003647 
0.0000417 0.0009000 0.0003807 
0.0016667 0.0012000 0.0003232 
0.0001917 0.0016500 0.0002810 
0.0000000 0.0034500 0.0003182 
0.0015250 0.0042500 0.0003191 
0.0000417 0.0049500 0.0003165 
0.0146583 0.0017500 0.0003073 
0.0012250 0.0018000 0.0004077 
0.0007500 0.0007500 0.0005292 
0.0040000 0.0003500 0.0005334 
0.0000500 0.0026000 0.0005410 
0.0007583 0.0031000 0.0006710 
0.0011917 0.0038500 0.0005976 
0.0001750 0.0035000 0.0005115 
0.0051917 0.0009500 0.0004895 
0.0003000 0.0011500 0.0004887 
0.0019917 0.0026500 0.0005520 
0.0130083 0.0011000 0.0005115 
0.0152083 0.0008000 0.0006617 
0.0019417 0.0005500 0.0015615 
0.0000000 0.0010000 0.0020257 
0.0000000 0.0042500 0.0014433 
0.0000000 0.0033000 0.0011647 
0.0000000 0.0035500 0.0009706 
0.0000000 0.0034000 0.0007698 
0.0000000 0.0032000 0.0006812 
0.0000000 0.0041000 0.0006398 
0.0001250 0.0053500 0.0003326 
0.0017000 0.0044500 0.0002802 
0.0000000 0.0045500 0.0002658 
0.0003417 0.0042000 0.0002658 
0.0217333 0.0014500 0.0002490 
0.0031417 0.0016500 0.0004685 
0.0000000 0.0019500 0.0004972 
0.0000000 0.0026000 0.0005030 
0.0000000 0.0036500 0.0004068 
0.0002250 0.0047000 0.0003376 
0.0000000 0.0035000 0.0003106 
0.0000000 0.0056500 0.0003579 
0.0000000 0.0061000 0.0003106 
0.0000250 0.0054500 0.0003579 
0.0006417 0.0058000 0.0002414 
0.0000000 0.0062500 0.0002313 
0.0000000 0.0045000 0.0001823 
0.0000333 0.0034500 0.0001316 
0.0034833 0.0041500 0.0001089 
0.0022667 0.0028500 0.0000929 
0.0002667 0.0015000 0.0001030 
0.0009417 0.0050000 0.0000929 
0.0000000 0.0058000 0.0000843 
0.0002083 0.0061000 0.0000779 
0.0019500 0.0065500 0.0000674 
0.0006667 0.0043500 0.0000571 
0.0000000 0.0032500 0.0000471 
0.0000250 0.0025500 0.0000481 
0.0001917 0.0026500 0.0000457 
0.0000000 0.0020500 0.0000400 
0.0000000 0.0024500 0.0000363 
0.0000000 0.0062500 0.0000356 
0.0005583 0.0058500 0.0000360 
0.0007500 0.0050500 0.0000377 
0.0042083 0.0031500 0.0000354 
0.0000000 0.0044500 0.0000403 
0.0000000 0.0062500 0.0000488 
0.0000833 0.0068500 0.0000474 
0.0000000 0.0041000 0.0000402 
0.0000000 0.0062000 0.0000411 
0.0000000 0.0067500 0.0000377 
0.0000000 0.0095000 0.0000337 
0.0000500 0.0090500 0.0000290 
0.0000417 0.0060500 0.0000281 
0.0110750 0.0030500 0.0000288 
0.0000000 0.0038500 0.0000342 
0.0000000 0.0046000 0.0000399 
0.0000000 0.0057000 0.0000363 
0.0000000 0.0076500 0.0000327 
0.0006500 0.0038000 0.0000289 
0.0164083 0.0013500 0.0000288 
0.0047667 0.0016500 0.0000413 
0.0000000 0.0057500 0.0000490 
0.0000000 0.0060500 0.0000457 
0.0000000 0.0064000 0.0000462 
0.0000000 0.0057000 0.0000414 
0.0015083 0.0080000 0.0000402 
0.0000000 0.0064500 0.0000368 
0.0000000 0.0070500 0.0000423 
0.0002417 0.0064500 0.0000690 
0.0003167 0.0039000 0.0000565 
0.0038083 0.0014000 0.0000540 
0.0063333 0.0021000 0.0000561 
0.0270333 0.0017500 0.0000869 
0.0029167 0.0017500 0.0012238 
0.0104083 0.0016500 0.0017893 
0.0083750 0.0013000 0.0011647 
0.0003250 0.0016500 0.0013674 
0.0000500 0.0027500 0.0010551 
0.0114417 0.0008500 0.0007031 
0.0015500 0.0014500 0.0009622 
0.0000000 0.0016000 0.0009031 
0.0000083 0.0038000 0.0005841 
0.0037583 0.0044000 0.0004398 
0.0040917 0.0032500 0.0003933 
0.0104000 0.0007500 0.0003376 
0.0126083 0.0010000 0.0007031 
0.0000000 0.0030500 0.0012323 
0.0000000 0.0055000 0.0007799 
0.0000000 0.0058500 0.0004009 
0.0284083 0.0016500 0.0002962 
0.0135667 0.0007000 0.0023802 
0.0310000 0.0004500 0.0025996 
0.0250750 0.0005500 0.0077060 
0.0000000 0.0043000 0.0108881 
0.0000083 0.0044000 0.0029709 
0.0001167 0.0032500 0.0016037 
0.0000000 0.0042000 0.0012069 
0.0066750 0.0038000 0.0008947 
0.0006917 0.0046500 0.0016037 
0.0000000 0.0050000 0.0038826 
0.0166750 0.0072000 0.0013505 
0.0000000 0.0051000 0.0026419 
0.0015917 0.0058000 0.0012238 
0.0006667 0.0033000 0.0009453 
0.0000000 0.0055500 0.0008525 
0.0000000 0.0043000 0.0007309 
0.0007917 0.0053500 0.0006044 
0.0000667 0.0062000 0.0005073 
0.0003250 0.0029000 0.0005006 
0.0100750 0.0035500 0.0005402 
0.0076833 0.0014500 0.0007714 
0.0000000 0.0033500 0.0015784 
0.0000000 0.0052000 0.0009368 
0.0003417 0.0049500 0.0006617 
0.0121333 0.0018500 0.0005419 
0.0020500 0.0014500 0.0006474 
0.0017167 0.0015500 0.0008111 
0.0097000 0.0008000 0.0007039 
0.0000000 0.0032500 0.0007690 
0.0000000 0.0036500 0.0006381 
0.0018667 0.0016500 0.0005503 
0.0081500 0.0009000 0.0005073 
0.0344667 0.0013500 0.0006187 
0.0659667 0.0010500 0.0085248 
0.0170250 0.0007500 0.0219449 
0.0239917 0.0009500 0.0140110 
0.0127000 0.0009000 0.0091156 
0.0023417 0.0005000 0.0062205 
0.0116083 0.0006000 0.0081112 
0.0194333 0.0010000 0.0046337 
0.0061083 0.0019500 0.0102972 
0.0038583 0.0033000 0.0082969 
0.0425333 0.0010000 0.0064991 
0.0000000 0.0016000 0.0127450 
0.0041500 0.0026500 0.0055368 
0.0001167 0.0017000 0.0028951 
0.0007833 0.0016500 0.0023549 
0.0011917 0.0026000 0.0024476 
0.0000000 0.0033500 0.0022198 
0.0000000 0.0020000 0.0020341 
0.0048083 0.0008000 0.0013083 
0.0121500 0.0009000 0.0012829 
0.0001333 0.0007000 0.0016628 
0.0000000 0.0015000 0.0018485 
0.0000000 0.0037000 0.0016544 
0.0044250 0.0028500 0.0011310 
0.0048083 0.0008000 0.0009875 
0.0045417 0.0005000 0.0010804 
0.0061333 0.0006000 0.0012914 
0.0142500 0.0008500 0.0018485 
0.0137917 0.0011500 0.0027768 
0.0008167 0.0016000 0.0077989 
0.0002667 0.0014500 0.0046084 
0.0010333 0.0005500 0.0019160 
0.0035250 0.0010000 0.0014179 
0.0010583 0.0008000 0.0012660 
0.0003750 0.0019500 0.0032410 
0.0000250 0.0016000 0.0027093 
0.0000833 0.0020000 0.0112509 
0.0000000 0.0014000 0.0010382 
0.0000000 0.0018500 0.0009368 
0.0000000 0.0022000 0.0008778 
0.0000000 0.0025500 0.0020088 
0.0000000 0.0017500 0.0008525 
0.0000167 0.0010500 0.0017471 
0.0042583 0.0004000 0.0007976 
0.0025583 0.0009000 0.0007959 
0.0089333 0.0008500 0.0007622 
0.0016333 0.0008500 0.0008694 
0.0000500 0.0026000 0.0009368 
0.0005167 0.0025500 0.0008863 
0.0012750 0.0013500 0.0008610 
0.0000000 0.0019500 0.0008255 
0.0000000 0.0023000 0.0007968 
0.0000000 0.0026000 0.0007765 
0.0000000 0.0029500 0.0007546 
0.0001833 0.0020000 0.0007267 
0.0005500 0.0007500 0.0006035 
0.0000500 0.0015500 0.0005545 
0.0001583 0.0009000 0.0005359 
0.0005250 0.0010000 0.0005241 
0.0005250 0.0007000 0.0005233 
0.0001083 0.0008000 0.0005156 
0.0003500 0.0006500 0.0004871 
0.0041333 0.0005500 0.0005241 
0.0006583 0.0009500 0.0005385 
0.0000000 0.0022500 0.0005503 
0.0000167 0.0012500 0.0005284 
0.0000000 0.0008000 0.0005141 
0.0000000 0.0007500 0.0005207 
0.0000000 0.0005500 0.0005014 
0.0337417 0.0003500 0.0005023 
0.0023167 0.0008500 0.0016965 
0.0061500 0.0001000 0.0015615 
0.0000000 0.0011500 0.0011816 
0.0000000 0.0020000 0.0009453 
0.0000000 0.0009500 0.0008154 
0.0000000 0.0004500 0.0006904 
0.0000000 0.0005000 0.0006432 
0.0000000 0.0007000 0.0006061 
0.0016083 0.0006000 0.0005672 
0.0007917 0.0009950 0.0005520 
0.0000000 0.0012000 0.0005723 
0.0000000 0.0004000 0.0005528 
0.0000000 0.0013500 0.0005385 
0.0000250 0.0007500 0.0005241 
0.0016000 0.0005500 0.0005241 
0.0000167 0.0003000 0.0005241 
0.0000250 0.0004500 0.0005241 
0.0029167 0.0004000 0.0005241 
0.0005833 0.0003000 0.0005115 
0.0003250 0.0005500 0.0004760 
0.0003333 0.0006000 0.0004102 
0.0006333 0.0001500 0.0004017 
0.0000000 0.0007484 0.0004034 
0.0000000 0.0007484 0.0004026 
0.0000000 0.0007484 0.0003933 
0.0000000 0.0009667 0.0003722 
0.0000000 0.0004832 0.0003106 
0.0000000 0.0004832 0.0003647 
0.0000000 0.0004665 0.0003816 
0.0014500 0.0003500 0.0003807 
0.0000417 0.0002834 0.0003638 
0.0002750 0.0001834 0.0003799 
0.0006083 0.0001834 0.0003816 
0.0005250 0.0001000 0.0003807 
0.0000167 0.0004387 0.0003832 
0.0000000 0.0004387 0.0003714 
0.0000000 0.0004387 0.0003621 
0.0000000 0.0004387 0.0003621 
0.0000000 0.0004387 0.0003604 
0.0000000 0.0004387 0.0003536 
0.0000000 0.0004387 0.0003714 
0.0000000 0.0004387 0.0003621 
0.0000000 0.0004387 0.0002329 
0.0000000 0.0004387 0.0002271 
0.0000000 0.0004387 0.0002245 
0.0000000 0.0004387 0.0002177 
0.0000000 0.0004387 0.0002177 
0.0023583 0.0004387 0.0002177 
0.0044750 0.0004387 0.0002177 
0.0000000 0.0004387 0.0002177 
0.0000000 0.0004387 0.0001899 
0.0000000 0.0004387 0.0001984 
0.0000000 0.0004387 0.0002237 
0.0000417 0.0004387 0.0002313 
0.0011417 0.0004387 0.0002059 
0.0016167 0.0006887 0.0002034 
0.0000417 0.0001750 0.0002025 
0.0014583 0.0002750 0.0001916 
0.0015917 0.0003872 0.0001924 
0.0000417 0.0003872 0.0002279 
0.0000000 0.0003872 0.0002186 
0.0000000 0.0004300 0.0001975 
